Coordinator;IDresponsible;WardCodeOriginal;Organisatie;Locatie;Teamnaam
889652;2049;011;Meandergroep Zuid-Limburg;Heiveld;Maximastraat 6
889652;2049;012;Meandergroep Zuid-Limburg;Heiveld;Maximastraat 12
889652;2050;001;Meandergroep Zuid-Limburg;Barbarahoes;Carisborg
889652;2050;002;Meandergroep Zuid-Limburg;Barbarahoes;Koempel
889652;2158;011;Meandergroep Zuid-Limburg;Kapelhof;afdeling BG
889652;2158;012;Meandergroep Zuid-Limburg;Kapelhof;afdeling 1
889652;2158;013;Meandergroep Zuid-Limburg;Kapelhof;afdelin 2
889652;2158;014;Meandergroep Zuid-Limburg;Kapelhof;afdeling 3
889652;2159;015;Meandergroep Zuid-Limburg;Kling Nullet;woning 1 en 2
889652;2159;016;Meandergroep Zuid-Limburg;Kling Nullet;woning 3 en 4
889652;2159;017;Meandergroep Zuid-Limburg;Kling Nullet;woning 5 en 6
889652;2160;018;Meandergroep Zuid-Limburg;Vroenhof;team 1 GP
889652;2160;020;Meandergroep Zuid-Limburg;Vroenhof;Team 3 GP
889652;2160;019;Meandergroep Zuid-Limburg;Vroenhof;team 2 transfer PG
889652;2161;021;Meandergroep Zuid-Limburg;Bocholtz;oude Linde
889652;2161;022;Meandergroep Zuid-Limburg;Bocholtz;Kastanje
889652;2161;023;Meandergroep Zuid-Limburg;Bocholtz;Eik
889652;2161;024;Meandergroep Zuid-Limburg;Bocholtz;Iep
889652;2162;025;Meandergroep Zuid-Limburg;Eschveld;De Dotterbloem
889652;2162;026;Meandergroep Zuid-Limburg;Eschveld;De Zinkviool
889652;2163;027;Meandergroep Zuid-Limburg;Rode Beuk;De Eekhoorn
889652;2163;028;Meandergroep Zuid-Limburg;Rode Beuk;De Veldmuis
889652;2163;029;Meandergroep Zuid-Limburg;Rode Beuk;De Korenwolf
889652;2164;030;Meandergroep Zuid-Limburg;Firenschat;Esdoornstraat
889652;2164;031;Meandergroep Zuid-Limburg;Firenschat;Kastanjelaan
889652;2164;032;Meandergroep Zuid-Limburg;Firenschat;Plataanplein
889652;2164;033;Meandergroep Zuid-Limburg;Firenschat;Eijkenweg
889652;2164;034;Meandergroep Zuid-Limburg;Firenschat;De wilg
889652;2164;035;Meandergroep Zuid-Limburg;Firenschat;os heem,oude linde,sjatterhuske
889652;2164;036;Meandergroep Zuid-Limburg;Firenschat;kappellerhuske,winselerhuske,maarhof
889652;2165;037;Meandergroep Zuid-Limburg;Dokter Calshof;Streep
889652;2165;038;Meandergroep Zuid-Limburg;Dokter Calshof;Eikske, Molt
889652;2165;039;Meandergroep Zuid-Limburg;Dokter Calshof;Dormisch berg
889652;2165;040;Meandergroep Zuid-Limburg;Dokter Calshof;De Baan
889652;2165;041;Meandergroep Zuid-Limburg;Dokter Calshof;Team 2
889652;2165;042;Meandergroep Zuid-Limburg;Dokter Calshof;Team 3
889652;2166;043;Meandergroep Zuid-Limburg;Laethof;kloosterrade,Anstel, Burggraaf,Cortenbach
889652;2166;044;Meandergroep Zuid-Limburg;Laethof;Terborg,windselerhof,terworm,erenstein
889652;2167;005;Meandergroep Zuid-Limburg;Heereveld;TZ team A
889652;2167;006;Meandergroep Zuid-Limburg;Heereveld;TZ team B
889652;2167;007;Meandergroep Zuid-Limburg;Heereveld;Z+ team A
889652;2167;008;Meandergroep Zuid-Limburg;Heereveld;Z+ team B
889652;2167;001;Meandergroep Zuid-Limburg;Heereveld;vlinder puthuske
889652;2167;002;Meandergroep Zuid-Limburg;Heereveld;anker puthuske
889652;2167;003;Meandergroep Zuid-Limburg;Heereveld;hofke puthuske
889652;2167;004;Meandergroep Zuid-Limburg;Heereveld;pG bungerveld puthuske
889652;2179;009;Meandergroep Zuid-Limburg;Hoog Anstel;Team A
889652;2179;010;Meandergroep Zuid-Limburg;Hoog Anstel;Team B
888701;289;01;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, PG;Nova
888701;289;02;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, PG;Castor
888701;289;03;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, PG;Pollux
888701;289;04;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, PG;Sirius
888701;484;05;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Noord;1e etage
888701;484;06;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Noord;2 etage
888701;484;07;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Noord;3e etage
888701;484;08;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Noord;4e etage
888701;484;09;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Noord;5e etage
888701;1439;10;Zonnehuisgroep Vlaardingen;De Laurenburg;Laurenburg
888701;1944;15;Zonnehuisgroep Vlaardingen;Adriaan Pauw;Adriaan Pauw 7
888701;1944;16;Zonnehuisgroep Vlaardingen;Adriaan Pauw;Adriaan Pauw 8
888701;1944;17;Zonnehuisgroep Vlaardingen;Adriaan Pauw;Adriaan Pauw 9
888701;1946;18;Zonnehuisgroep Vlaardingen;De Dillenburg;Reva 1
888701;1946;19;Zonnehuisgroep Vlaardingen;De Dillenburg;Reva 2
888701;1946;20;Zonnehuisgroep Vlaardingen;De Dillenburg;Reva Stroke
888701;2062;21;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, Somatiek;Mercurius
888701;2062;22;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, Somatiek;Neptunus
888701;2062;23;Zonnehuisgroep Vlaardingen;Locatie Zonnehuis, Somatiek;Pluto
888701;2063;24;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Zuid;afd. 1+2+3
888701;2063;25;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Zuid;afd. 4+5+6
888701;2063;26;Zonnehuisgroep Vlaardingen;Locatie Drieën-Huysen, Zuid;afd.7+8+9
889731;2233;EM Int;Present;Emma;Emma Interne zorg
889731;2233;EM Int B;Present;Emma;Emma Intern Toren B
889731;2233;EM Int C;Present;Emma;Emma Intern Toren C
889731;2233;EM KSW;Present;Emma;KSW Emma
889731;2233;MP;Present;Emma;KSW Meesplein
889731;2233;MP B;Present;Emma;KSW Meesplein B
889731;2233;MP C;Present;Emma;KSW Meesplein C
889731;2233;MP D;Present;Emma;KSW Meesplein D
889731;2234;GZ 1;Present;Graafzicht;Graafzicht Intern 1e etage
889731;2234;GZ 2;Present;Graafzicht;Graafzicht intern 2de etage
889731;2234;GZ BG;Present;Graafzicht;Graafzicht intern Begane Grond
889731;2234;GZ KSW1;Present;Graafzicht;Graafzicht KSW 1
889731;2234;GZ KSW2;Present;Graafzicht;Graafzicht KSW 2
889731;2235;HA Int;Present;Hof van Ammers;Hof van Ammers Intern
889731;2235;HA KSW;Present;Hof van Ammers;Hof van Ammers KSW
889731;2236;OV Int1;Present;Open Vensters;Open Vensters intern 1
889731;2236;OV Int2;Present;Open Vensters;Open Vensters Intern 2
889731;2236;OV Int3;Present;Open Vensters;Open Vensters intern 3
889731;2236;OV KSWM;Present;Open Vensters;Open Vensters KSW madelief
889731;2236;OV KSWK;Present;Open Vensters;Open Vensters KSW Klaproos
889731;2236;OV KSWL;Present;Open Vensters;Open Vensters KSW Lisdodde
889731;2236;OV KSWF;Present;Open Vensters;Open Vensters KSW Fluitekruid
889660;2086;E1;Zuyderland Zorgcentra en TZ;De Eghte;Bosserhoaf
889660;2086;E2;Zuyderland Zorgcentra en TZ;De Eghte;Schrevenhoaf
889660;2086;E3;Zuyderland Zorgcentra en TZ;De Eghte;Pepinushoaf
889660;2086;E4;Zuyderland Zorgcentra en TZ;De Eghte;Leenderhoaf
889660;2086;E5;Zuyderland Zorgcentra en TZ;De Eghte;Antonius
889660;2086;E6;Zuyderland Zorgcentra en TZ;De Eghte;Pejjerhoes
889660;2086;E7;Zuyderland Zorgcentra en TZ;De Eghte;Gebrookerhaof
889660;2087;V1;Zuyderland Zorgcentra en TZ;Vastrada;Zonnehook
889660;2087;V2;Zuyderland Zorgcentra en TZ;Vastrada;Raegeboog
889660;2087;V3;Zuyderland Zorgcentra en TZ;Vastrada;Sjterrehemel
889660;2087;V4;Zuyderland Zorgcentra en TZ;Vastrada;'t Hout
889660;2088;L1;Zuyderland Zorgcentra en TZ;Lemborgh;De Wal
889660;2088;L3;Zuyderland Zorgcentra en TZ;Lemborgh;'t Steegske
889660;2088;L4;Zuyderland Zorgcentra en TZ;Lemborgh;'t Stroatje
889660;2088;L2;Zuyderland Zorgcentra en TZ;Lemborgh;De Gats
889660;2088;L5;Zuyderland Zorgcentra en TZ;Lemborgh;'t Heukske
889660;2089;B4;Zuyderland Zorgcentra en TZ;De Baenje; Bnj Schwienswei
889660;2089;B1;Zuyderland Zorgcentra en TZ;De Baenje;Bnj De Wieër
889660;2089;B3;Zuyderland Zorgcentra en TZ;De Baenje;Bnj Meulenbaek
889660;2089;B7;Zuyderland Zorgcentra en TZ;De Baenje;Bnj kol afd 4
889660;2089;B8;Zuyderland Zorgcentra en TZ;De Baenje;Bnj Kol afd 5
889660;2089;B2;Zuyderland Zorgcentra en TZ;De Baenje;Bnj Stadszicht
889660;2089;B5;Zuyderland Zorgcentra en TZ;De Baenje;Bnj Kol afd 0/1
889660;2089;B6;Zuyderland Zorgcentra en TZ;De Baenje;bnj Kol afd 2/3
889660;2090;H1;Zuyderland Zorgcentra en TZ;Hoogstaete;afd 1 VZ
889660;2090;H2;Zuyderland Zorgcentra en TZ;Hoogstaete;afd 2 VZ
889660;2090;H3;Zuyderland Zorgcentra en TZ;Hoogstaete;Afd 3 VZ
889660;2090;H4;Zuyderland Zorgcentra en TZ;Hoogstaete;afd 4 VZ
889660;2090;H5;Zuyderland Zorgcentra en TZ;Hoogstaete;afd 5 VZ
889660;2090;H6;Zuyderland Zorgcentra en TZ;Hoogstaete;KSW
889660;2091;A1;Zuyderland Zorgcentra en TZ;Aldenhof;ALD Team 1
889660;2091;A2;Zuyderland Zorgcentra en TZ;Aldenhof;ALD Team 2
889660;2091;A3;Zuyderland Zorgcentra en TZ;Aldenhof;ALD KSW
889660;2091;A4;Zuyderland Zorgcentra en TZ;Aldenhof;ALD zorgappartementen
889660;2092;G1;Zuyderland Zorgcentra en TZ;Glana;Gla Biesenhof
889660;2092;G2;Zuyderland Zorgcentra en TZ;Glana;Gla Hanenhof
889660;2092;G3;Zuyderland Zorgcentra en TZ;Glana;Gla Kummenaederhof
889660;2092;G4;Zuyderland Zorgcentra en TZ;Glana;Gla Heimstenraderhof
889660;2092;G5;Zuyderland Zorgcentra en TZ;Glana;Gla Lutteraderhof
889660;2092;G6;Zuyderland Zorgcentra en TZ;Glana;Rosengarten
889660;2092;G7;Zuyderland Zorgcentra en TZ;Glana;Gla Athos
889660;2092;G9;Zuyderland Zorgcentra en TZ;Glana;Gla Aramis
889660;2092;G8;Zuyderland Zorgcentra en TZ;Glana;Gla Porthos
889660;2092;G10;Zuyderland Zorgcentra en TZ;Glana;Gla Drossaert
889660;2092;G11;Zuyderland Zorgcentra en TZ;Glana;Gla Coppenhagen
889660;2092;G13;Zuyderland Zorgcentra en TZ;Glana;Gla Vus
889660;2092;G14;Zuyderland Zorgcentra en TZ;Glana;Gla Vub
889660;2092;G15;Zuyderland Zorgcentra en TZ;Glana;Gla Zilverlinde
889660;2092;G12;Zuyderland Zorgcentra en TZ;Glana;Driepoel
889534;2149;36212;Vivantes;Aelserhof;Aelserhof Verpleging
889534;2149;36211;Vivantes;Aelserhof;Aelserhof Verzorging
889534;2150;31211;Vivantes;Bunderhof;Bunderhof Zorgteam 1
889534;2150;31212;Vivantes;Bunderhof;Bunderhof Zorgteam 2
889534;2150;31213;Vivantes;Bunderhof;Bunderhof Zorgteam 3
889534;2151;38211;Vivantes;La Famille;afdeling somatiek
889534;2151;38212;Vivantes;La Famille;afdeling PG
889534;2152;33211;Vivantes;Olympiastaete;Team intramurale zorg
889534;2153;37211;Vivantes;Urmonderhof;Afd 1 somatiek
889534;2153;37212;Vivantes;Urmonderhof;Verpleegunit
889534;2154;32211;Vivantes;Bloemenhof;Unit
889534;2154;32212;Vivantes;Bloemenhof;afdeling 1 somatiek
889534;2154;32213;Vivantes;Bloemenhof;Afdeling 2 huiskamer
889534;2155;39212;Vivantes;Franciscus;Baekerheuske
889534;2155;39211;Vivantes;Franciscus;SBB
889534;2156;35211;Vivantes;Moutheuvel;Zorgteam GV
889534;2156;35213;Vivantes;Moutheuvel;Zorgteam 2
889534;2156;35214;Vivantes;Moutheuvel;Zorgteam 3
889534;2156;35215;Vivantes;Moutheuvel;Zorgteam 4
889534;2157;34211;Vivantes;Oud Geleen;Zorgteam 1
889534;2157;34212;Vivantes;Oud Geleen;Zorgteam 2
889534;2157;34213;Vivantes;Oud Geleen;Zorgteam 3
889534;2157;34214;Vivantes;Oud Geleen;Zorgteam 4
889659;2070;103;Haagse Wijk- en Woonzorg;Vrederust West;Zomersingel
889659;2070;104;Haagse Wijk- en Woonzorg;Vrederust West;Herfsthof
889659;2071;202;Haagse Wijk- en Woonzorg;Moerwijk;1e etage
889659;2071;203;Haagse Wijk- en Woonzorg;Moerwijk;2e etage
889659;2071;201;Haagse Wijk- en Woonzorg;Moerwijk;Hofje van Weldam
889659;2072;301;Haagse Wijk- en Woonzorg;De Schildershoek;Mondriaan
889659;2072;305;Haagse Wijk- en Woonzorg;De Schildershoek;Vermeer
889659;2072;304;Haagse Wijk- en Woonzorg;De Schildershoek;Rembrandt
889659;2072;306;Haagse Wijk- en Woonzorg;De Schildershoek;Breughel
889659;2072;302;Haagse Wijk- en Woonzorg;De Schildershoek;Picasso
889659;2072;303;Haagse Wijk- en Woonzorg;De Schildershoek;van Gogh
889659;2073;401;Haagse Wijk- en Woonzorg;De Stromenhof;Kleinschalig wonen
889659;2074;003;Haagse Wijk- en Woonzorg;Op de Laan;2e etage
889659;2074;004;Haagse Wijk- en Woonzorg;Op de Laan;3e etage
889659;2074;005;Haagse Wijk- en Woonzorg;Op de Laan;4e etage
889659;2074;001;Haagse Wijk- en Woonzorg;Op de Laan;Begane grond
889659;2074;002;Haagse Wijk- en Woonzorg;Op de Laan;1e etage
889659;2076;504;Haagse Wijk- en Woonzorg;Houtwijk;Robijn
889659;2076;506;Haagse Wijk- en Woonzorg;Houtwijk;Smaragd
889659;2076;501;Haagse Wijk- en Woonzorg;Houtwijk;Diamant
889659;2076;502;Haagse Wijk- en Woonzorg;Houtwijk;Opaal
889659;2076;503;Haagse Wijk- en Woonzorg;Houtwijk;Topaas
889659;2077;604;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;3e etage
889659;2077;601;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;BG
889659;2077;602;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;1e etage
889659;2077;603;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;2e etage
889659;2077;605;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;4e etage
889659;2077;606;Haagse Wijk- en Woonzorg;Zorghuis Dr. W. Drees;5e etage
889659;2078;701;Haagse Wijk- en Woonzorg;De Eshoeve;Albatros
889659;2078;705;Haagse Wijk- en Woonzorg;De Eshoeve;Zilvermeeuw
889659;2078;704;Haagse Wijk- en Woonzorg;De Eshoeve;Stormvogel
889659;2078;703;Haagse Wijk- en Woonzorg;De Eshoeve;Strandloper
889659;2078;702;Haagse Wijk- en Woonzorg;De Eshoeve;Zeezwaluw
889659;2079;1004;Haagse Wijk- en Woonzorg;Ametisthorst;4e etage
889659;2079;1001;Haagse Wijk- en Woonzorg;Ametisthorst;1e etage
889659;2079;1002;Haagse Wijk- en Woonzorg;Ametisthorst;2e etage
889659;2079;1003;Haagse Wijk- en Woonzorg;Ametisthorst;3e etage
889659;2080;801;Haagse Wijk- en Woonzorg;Residentie;Zorgafdeling
888209;714;131;Stichting Land van Horne;Witven - Someren;Somatiek
889193;1777;V01;Surplus;Vredenbergh;Vredenbergh team 1
889193;1777;V02;Surplus;Vredenbergh;Vredenbergh team 2
888162;732;1;ActiVite;AgnesStaete;kleinschalig wonen
888162;732;2;ActiVite;AgnesStaete;somatiek
888162;1012;1;ActiVite;Zuidervaart;Zuidervaart
888162;1947;1;ActiVite;Hof van Alkemade;Kleinschalig wonen
888162;1947;2;ActiVite;Hof van Alkemade;Somatiek
888162;1948;1;ActiVite;Noorderbrink;Noorderbrink
888162;1948;2;ActiVite;Noorderbrink;Sassenoord
888162;1949;2;ActiVite;Ommedijk;kleinschalig wonen
888162;1949;1;ActiVite;Ommedijk;Somatiek
888162;1950;1;ActiVite;Rietveld;cluster 1
888162;1950;2;ActiVite;Rietveld;cluster 2
888162;1950;3;ActiVite;Rietveld;cluster 3
888162;1950;4;ActiVite;Rietveld;cluster 4
888162;1952;1;ActiVite;Sassembourg;kleinschalig wonen
888162;1952;2;ActiVite;Sassembourg;somatiek
888162;2004;1;ActiVite;Hussonshoek;Kleinschalig wonen 
889447;2296;01;Mosae Zorggroep;Licht en Liefde;Licht en Liefde
889447;2296;01;Mosae Zorggroep;Licht en Liefde;Licht en Liefde
889447;2297;SWV 2;Mosae Zorggroep;SWV;PG Bos
889447;2297;SWV 1;Mosae Zorggroep;SWV;SWV somatiek
889447;2297;SWV 3;Mosae Zorggroep;SWV;PG Land
889447;2297;SWV 4;Mosae Zorggroep;SWV;PG Stad
889447;2298;C05;Mosae Zorggroep;Campagne;Boterbloem/Lavendel
889447;2298;C02;Mosae Zorggroep;Campagne;Beuk/Eik
889447;2298;C09;Mosae Zorggroep;Campagne;Merel/Spreeuw
889447;2298;C01;Mosae Zorggroep;Campagne;Spar/Linde
889447;2298;C03;Mosae Zorggroep;Campagne;Populier/Kastanje
889447;2298;C04;Mosae Zorggroep;Campagne;Viooltje/Anemoon
889447;2298;C06;Mosae Zorggroep;Campagne;Klaproos/Madelief
889447;2298;C07;Mosae Zorggroep;Campagne;Specht/Vink
889447;2298;C08;Mosae Zorggroep;Campagne;Mus/Duif
